T,P,L,S,M
1363,143,0,156,51835
79,28,23,46,51933
125,37,22,51,51984
176,36,21,47,52034
262,25,19,46,52115
308,40,18,48,52168
356,30,17,47,52211
403,38,16,47,52262
450,31,15,55,52306
505,53,14,81,52372
505,53,14,81,52372
586,86,13,76,52469
662,38,12,69,52521
798,33,10,51,52655
849,52,9,55,52715
904,31,8,52,52760
956,41,7,55,52817
1011,36,6,57,52869
1068,47,5,57,52932
1125,37,4,62,52984
1245,35,2,68,53103
1313,72,1,77,53189
